#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.8%	500	1.0000000000000007	-620568.9868421562	70157.32909345727	-550411.6577486988	212.22810418118033	400.5956432611131	0.9955536980675234	0	--
1.5%	1000	2.0000000000000013	-591253.8403650569	91182.00760727351	-500071.83275778336	275.8284110865659	382.4436498060826	1.0428058467713024	66.5	2:46
2.3%	1500	2.999999999999891	-664981.5767633631	42103.098156590386	-622878.4786067727	127.36318239858177	364.50210623566863	1.0941348959462147	66.3	2:45
3.1%	2000	3.999999999999781	-697157.9419262821	19019.997750381495	-678137.9441759007	57.53608519954649	358.3315770823543	1.112976080214893	66.8	2:42
3.8%	2500	4.999999999999671	-708573.8563120512	9672.441789785504	-698901.4145222657	29.2594374725197	356.1395275667751	1.1198264815004644	67.2	2:40
4.6%	3000	5.999999999999561	-713040.5965023232	5842.087483199773	-707198.5090191234	17.67249647386758	355.95246656703284	1.1204149754170474	67.5	2:38
5.4%	3500	6.999999999999451	-713697.8774761779	5318.403167268697	-708379.4743089091	16.088335118303156	355.95246656703284	1.1204149754170474	67.7	2:37
6.2%	4000	7.999999999999341	-714051.0196769761	5103.806459187648	-708947.2132177885	15.43917339695407	355.3966299974859	1.1221672925856407	67.9	2:35
6.9%	4500	8.999999999999675	-713052.7970056077	6069.201339215954	-706983.5956663918	18.35952295732142	354.9660313933376	1.123528559938214	68	2:33
7.7%	5000	10.000000000000009	-712822.0324450883	6489.8112609733635	-706332.2211841149	19.631881062280893	355.19690465166	1.1227982813348416	68.3	2:31
8.5%	5500	11.000000000000343	-711770.1717665261	7682.968869884904	-704087.2028966412	23.241219966721335	355.0863399947517	1.123147891535997	68.4	2:30
9.2%	6000	12.000000000000677	-711273.1676389747	8022.510562502819	-703250.657076472	24.268344155254464	355.0863399947517	1.123147891535997	68.4	2:29
10.0%	6500	13.00000000000101	-710210.0433990301	9356.276946957678	-700853.7664520724	28.3030289822149	354.96585213384657	1.1235291273256307	68.5	2:27
10.8%	7000	14.000000000001345	-709824.187329594	9724.8100136391	-700099.377315955	29.417852979657656	355.3433295793576	1.1223356142647771	68.4	2:26
